Date,Start (s),Labels,End (s),Scientific name,Common name,Confidence
"2022_06_14,12:10:23",3.0,408,6.0,Cardinalis cardinalis,Northern Cardinal,0.3039
"2022_06_14,12:10:38",0.0,1997,3.0,Sayornis phoebe,Eastern Phoebe,0.9999
"2022_06_14,12:10:38",3.0,1997,6.0,Sayornis phoebe,Eastern Phoebe,0.9582
"2022_06_14,12:10:38",6.0,408,9.0,Cardinalis cardinalis,Northern Cardinal,0.5327
"2022_06_14,12:11:37",6.0,1774,9.0,Poecile carolinensis,Carolina Chickadee,0.8973
"2022_06_14,12:12:50",3.0,246,6.0,Auriparus flaviceps,Verdin,0.5083
"2022_06_14,12:12:50",6.0,246,9.0,Auriparus flaviceps,Verdin,0.9844
"2022_06_14,12:13:04",0.0,1361,3.0,Molothrus ater,Brown-headed Cowbird,0.9828
"2022_06_14,12:13:33",0.0,1108,3.0,Icterus galbula,Baltimore Oriole,0.7983
"2022_06_14,12:13:48",6.0,636,9.0,Cossypha caffra,Cape Robin-Chat,0.4729
"2022_06_14,12:13:48",6.0,637,9.0,Cossypha heuglini,White-browed Robin-Chat,0.3972
"2022_06_14,12:14:17",0.0,1087,3.0,Hylocichla mustelina,Wood Thrush,0.9096
"2022_06_14,12:14:17",6.0,418,9.0,Catharus frantzii,Ruddy-capped Nightingale-Thrush,0.4979
"2022_06_14,12:14:32",3.0,1087,6.0,Hylocichla mustelina,Wood Thrush,0.8391
"2022_06_14,12:15:30",3.0,1808,6.0,Power tools,Power tools,0.5692
"2022_06_14,12:15:44",6.0,858,9.0,Engine,Engine,0.6712
